algorithm,objective,dims,win,clicks,time_ms,guesses,completion
Greedy Algorithm,N/A,3x3x3x3,TRUE,37,62,36,100
Greedy Algorithm,N/A,3x3x3x3,TRUE,49,79,48,100
Greedy Algorithm,N/A,3x3x3x3,FALSE,13,10,12,16.901408450704224
Greedy Algorithm,N/A,3x3x3x3,TRUE,25,23,17,100
Greedy Algorithm,N/A,3x3x3x3,FALSE,49,73,46,95.77464788732394
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,38,64,37,83.09859154929578
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,23,32,22,47.88732394366197
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,7,5,6,8.450704225352112
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,38,50,35,90.14084507042254
Greedy Algorithm,N/A,3x3x3x3,FALSE,45,71,44,76.05633802816901
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,44,70,43,90.14084507042254
Greedy Algorithm,N/A,3x3x3x3,FALSE,5,3,4,5.633802816901409
Greedy Algorithm,N/A,3x3x3x3,FALSE,12,12,11,33.80281690140845
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,7,4,6,8.450704225352112
Greedy Algorithm,N/A,3x3x3x3,FALSE,15,22,14,39.436619718309856
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,7,4,6,8.450704225352112
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,6,4,5,7.042253521126761
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,15,12,14,19.718309859154928
Greedy Algorithm,N/A,3x3x3x3,FALSE,31,45,30,83.09859154929578
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,24,30,23,90.14084507042254
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,7,4,6,8.450704225352112
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,5,3,4,5.633802816901409
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,28,39,27,88.73239436619718
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,6,4,5,7.042253521126761
Greedy Algorithm,N/A,3x3x3x3,FALSE,30,42,29,80.28169014084507
Greedy Algorithm,N/A,3x3x3x3,FALSE,64,103,63,88.73239436619718
Greedy Algorithm,N/A,3x3x3x3,FALSE,11,8,10,14.084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,20,30,19,57.74647887323944
Greedy Algorithm,N/A,3x3x3x3,FALSE,44,62,43,60.56338028169014
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,12,9,11,15.492957746478872
Greedy Algorithm,N/A,3x3x3x3,FALSE,31,54,30,73.23943661971832
Greedy Algorithm,N/A,3x3x3x3,FALSE,7,4,6,8.450704225352112
Greedy Algorithm,N/A,3x3x3x3,FALSE,23,26,20,94.36619718309859
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,39,54,38,87.32394366197182
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,43,78,42,78.87323943661971
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,2,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,14,17,13,36.61971830985916
Greedy Algorithm,N/A,3x3x3x3,FALSE,11,9,10,29.577464788732392
Greedy Algorithm,N/A,3x3x3x3,FALSE,38,52,37,69.01408450704226
Greedy Algorithm,N/A,3x3x3x3,TRUE,21,20,14,100
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,2,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,12,8,11,15.492957746478872
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,2,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,31,37,30,42.25352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,14,11,13,18.30985915492958
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,23,32,21,97.1830985915493
Greedy Algorithm,N/A,3x3x3x3,FALSE,16,13,15,21.12676056338028
Greedy Algorithm,N/A,3x3x3x3,FALSE,66,103,65,91.54929577464789
Greedy Algorithm,N/A,3x3x3x3,TRUE,59,95,55,100
Greedy Algorithm,N/A,3x3x3x3,FALSE,10,7,9,12.676056338028168
Greedy Algorithm,N/A,3x3x3x3,FALSE,5,3,4,5.633802816901409
Greedy Algorithm,N/A,3x3x3x3,FALSE,28,50,27,69.01408450704226
Greedy Algorithm,N/A,3x3x3x3,FALSE,39,53,38,53.52112676056338
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,1,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,36,47,35,49.29577464788733
Greedy Algorithm,N/A,3x3x3x3,TRUE,51,68,46,100
Greedy Algorithm,N/A,3x3x3x3,FALSE,43,72,42,90.14084507042254
Greedy Algorithm,N/A,3x3x3x3,FALSE,8,5,7,9.859154929577464
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,10,6,9,12.676056338028168
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,2,3,4.225352112676056
Greedy Algorithm,N/A,3x3x3x3,FALSE,4,3,3,23.943661971830984
Greedy Algorithm,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Greedy Algorithm,N/A,3x3x3x3,FALSE,53,72,51,97.1830985915493
Greedy Algorithm,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Greedy Algorithm,N/A,3x3x3x3,FALSE,42,76,41,77.46478873239437
Greedy Algorithm,N/A,3x3x3x3,FALSE,28,37,27,52.112676056338024
Greedy Algorithm,N/A,3x3x3x3,FALSE,62,102,61,85.91549295774648
Greedy Algorithm,N/A,3x3x3x3,TRUE,49,77,46,100
Exact Solver,N/A,3x3x3x3,FALSE,14,2,7,18.30985915492958
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,59,49,29,98.59154929577466
