algorithm,objective,dims,losses,avg_completion_on_loss,avg_clicks_on_loss,avg_guesses_on_loss,avg_guess_rate_on_loss,avg_time_ms_on_loss
exact_solver,MaxInformation,2x2x2,8,87.5,3.0,2.75,0.9166666666666666,0.125
exact_solver,MinDistance,2x2x2,16,83.4375,3.4375,2.125,0.6927083333333333,0.5625
exact_solver,MinRotation,2x2x2,19,77.89473684210526,3.4210526315789473,2.1052631578947367,0.6754385964912281,0.3157894736842105
global_sat,MaxInformation,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,0.4
global_sat,MinDistance,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,0.6
global_sat,MinRotation,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,0.9
greedy,MaxInformation,2x2x2,25,84.0,3.12,3.12,1.0,0.0
greedy,MinDistance,2x2x2,25,84.0,3.12,3.12,1.0,0.0
greedy,MinRotation,2x2x2,25,84.0,3.12,3.12,1.0,0.0
partitioned_sat,MaxInformation,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,1.1
partitioned_sat,MinDistance,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,0.7
partitioned_sat,MinRotation,2x2x2,10,81.0,3.1,2.1,0.7416666666666666,0.6
scip_solver,MaxInformation,2x2x2,2,80.0,3.0,2.5,0.875,84.0
scip_solver,MinDistance,2x2x2,8,77.5,3.75,2.125,0.625,159.375
scip_solver,MinRotation,2x2x2,9,76.66666666666667,3.2222222222222223,2.0,0.6851851851851851,114.55555555555556
exact_solver,MaxInformation,3x3x3,14,92.70071428571428,9.642857142857142,2.5,0.28058390022675733,16.5
exact_solver,MinDistance,3x3x3,19,84.09526315789473,9.105263157894736,2.789473684210526,0.3951396018570534,16.736842105263158
exact_solver,MinRotation,3x3x3,21,78.83761904761904,8.238095238095237,2.380952380952381,0.3869659441088012,15.095238095238095
greedy,MaxInformation,3x3x3,29,82.22137931034483,4.896551724137931,4.896551724137931,1.0,0.27586206896551724
greedy,MinDistance,3x3x3,30,71.92533333333334,4.866666666666666,4.866666666666666,1.0,0.06666666666666667
greedy,MinRotation,3x3x3,30,71.99966666666666,4.866666666666666,4.866666666666666,1.0,0.03333333333333333
scip_solver,MinDistance,3x3x3,1,17.78,4.0,2.0,0.5,316.0
exact_solver,MaxInformation,4x4x4,26,87.4873076923077,20.076923076923077,4.538461538461538,0.28444259815809336,116.53846153846153
exact_solver,MinDistance,4x4x4,27,69.3862962962963,14.814814814814815,3.0,0.3026226219360109,70.96296296296296
exact_solver,MinRotation,4x4x4,29,69.44620689655173,14.137931034482758,2.3793103448275863,0.28855131421213615,62.275862068965516
global_sat,MaxInformation,4x4x4,2,63.92,13.0,2.0,0.18055555555555555,71.5
global_sat,MinDistance,4x4x4,2,63.92,12.0,2.0,0.1875,63.0
global_sat,MinRotation,4x4x4,2,63.92,13.0,2.0,0.18055555555555555,60.5
greedy,MaxInformation,4x4x4,30,68.60833333333333,8.866666666666667,8.866666666666667,1.0,1.0666666666666667
greedy,MinDistance,4x4x4,30,64.43066666666667,7.7,7.7,1.0,0.9
greedy,MinRotation,4x4x4,30,63.84,8.066666666666666,8.066666666666666,1.0,0.6333333333333333
partitioned_sat,MaxInformation,4x4x4,2,63.92,13.0,2.0,0.18055555555555555,65.5
partitioned_sat,MinDistance,4x4x4,2,63.92,12.0,2.0,0.1875,50.5
partitioned_sat,MinRotation,4x4x4,2,63.92,12.0,2.0,0.1875,48.0
scip_solver,MaxInformation,4x4x4,1,12.66,2.0,2.0,1.0,110.0
scip_solver,MinDistance,4x4x4,3,43.03666666666667,5.666666666666667,2.3333333333333335,0.5277777777777778,624.3333333333334
scip_solver,MinRotation,4x4x4,3,49.78666666666667,10.333333333333334,2.0,0.23366013071895422,1245.3333333333333
exact_solver,MaxInformation,5x5x5,30,81.001,30.366666666666667,5.2,0.209128097372066,380.1666666666667
