algorithm,objective,dims,seed,win,clicks,time_ms,guesses,completion,time_per_click_ms,completion_per_click,guess_rate
greedy,MinDistance,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MinRotation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MaxInformation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MinDistance,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MinRotation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MaxInformation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MinDistance,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MinRotation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MaxInformation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MinDistance,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MinRotation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MaxInformation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MinDistance,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MinRotation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MaxInformation,2x2x2,0,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MinDistance,2x2x2,1,False,2,0,2,75.0,0.0,37.5,1.0
greedy,MinRotation,2x2x2,1,False,2,0,2,75.0,0.0,37.5,1.0
greedy,MaxInformation,2x2x2,1,False,2,0,2,75.0,0.0,37.5,1.0
exact_solver,MinDistance,2x2x2,1,False,3,2,2,80.0,0.6666666666666666,26.666666666666668,0.6666666666666666
exact_solver,MinRotation,2x2x2,1,False,3,1,2,80.0,0.3333333333333333,26.666666666666668,0.6666666666666666
exact_solver,MaxInformation,2x2x2,1,True,6,5,4,100.0,0.8333333333333334,16.666666666666668,0.6666666666666666
global_sat,MinDistance,2x2x2,1,False,3,2,2,80.0,0.6666666666666666,26.666666666666668,0.6666666666666666
global_sat,MinRotation,2x2x2,1,False,3,5,2,80.0,1.6666666666666667,26.666666666666668,0.6666666666666666
global_sat,MaxInformation,2x2x2,1,False,3,1,2,80.0,0.3333333333333333,26.666666666666668,0.6666666666666666
partitioned_sat,MinDistance,2x2x2,1,False,3,2,2,80.0,0.6666666666666666,26.666666666666668,0.6666666666666666
partitioned_sat,MinRotation,2x2x2,1,False,3,1,2,80.0,0.3333333333333333,26.666666666666668,0.6666666666666666
partitioned_sat,MaxInformation,2x2x2,1,False,3,7,2,80.0,2.3333333333333335,26.666666666666668,0.6666666666666666
scip_solver,MinDistance,2x2x2,1,False,3,223,2,80.0,74.33333333333333,26.666666666666668,0.6666666666666666
scip_solver,MinRotation,2x2x2,1,False,3,120,2,80.0,40.0,26.666666666666668,0.6666666666666666
scip_solver,MaxInformation,2x2x2,1,True,6,280,2,100.0,46.666666666666664,16.666666666666668,0.3333333333333333
greedy,MinDistance,2x2x2,2,False,1,0,1,85.0,0.0,85.0,1.0
greedy,MinRotation,2x2x2,2,False,1,0,1,85.0,0.0,85.0,1.0
greedy,MaxInformation,2x2x2,2,False,1,0,1,85.0,0.0,85.0,1.0
exact_solver,MinDistance,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MinRotation,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MaxInformation,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
global_sat,MinDistance,2x2x2,2,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MinRotation,2x2x2,2,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MaxInformation,2x2x2,2,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinDistance,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
partitioned_sat,MinRotation,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
partitioned_sat,MaxInformation,2x2x2,2,True,4,1,1,100.0,0.25,25.0,0.25
scip_solver,MinDistance,2x2x2,2,True,4,103,1,100.0,25.75,25.0,0.25
