algorithm,objective,dims,seed,win,clicks,time_ms,guesses,completion
greedy,MinDistance,2x2x2,0,true,1,0,1,100.00
greedy,MinRotation,2x2x2,0,true,1,0,1,100.00
greedy,MaxInformation,2x2x2,0,true,1,0,1,100.00
exact_solver,MinDistance,2x2x2,0,true,1,0,1,100.00
exact_solver,MinRotation,2x2x2,0,true,1,0,1,100.00
exact_solver,MaxInformation,2x2x2,0,true,1,0,1,100.00
global_sat,MinDistance,2x2x2,0,true,1,0,1,100.00
global_sat,MinRotation,2x2x2,0,true,1,0,1,100.00
global_sat,MaxInformation,2x2x2,0,true,1,0,1,100.00
partitioned_sat,MinDistance,2x2x2,0,true,1,0,1,100.00
partitioned_sat,MinRotation,2x2x2,0,true,1,0,1,100.00
partitioned_sat,MaxInformation,2x2x2,0,true,1,0,1,100.00
scip_solver,MinDistance,2x2x2,0,true,1,0,1,100.00
scip_solver,MinRotation,2x2x2,0,true,1,0,1,100.00
scip_solver,MaxInformation,2x2x2,0,true,1,0,1,100.00
greedy,MinDistance,2x2x2,1,false,2,0,2,75.00
greedy,MinRotation,2x2x2,1,false,2,0,2,75.00
greedy,MaxInformation,2x2x2,1,false,2,0,2,75.00
exact_solver,MinDistance,2x2x2,1,false,3,2,2,80.00
exact_solver,MinRotation,2x2x2,1,false,3,1,2,80.00
exact_solver,MaxInformation,2x2x2,1,true,6,5,4,100.00
global_sat,MinDistance,2x2x2,1,false,3,2,2,80.00
global_sat,MinRotation,2x2x2,1,false,3,5,2,80.00
global_sat,MaxInformation,2x2x2,1,false,3,1,2,80.00
partitioned_sat,MinDistance,2x2x2,1,false,3,2,2,80.00
partitioned_sat,MinRotation,2x2x2,1,false,3,1,2,80.00
partitioned_sat,MaxInformation,2x2x2,1,false,3,7,2,80.00
scip_solver,MinDistance,2x2x2,1,false,3,223,2,80.00
scip_solver,MinRotation,2x2x2,1,false,3,120,2,80.00
scip_solver,MaxInformation,2x2x2,1,true,6,280,2,100.00
greedy,MinDistance,2x2x2,2,false,1,0,1,85.00
greedy,MinRotation,2x2x2,2,false,1,0,1,85.00
greedy,MaxInformation,2x2x2,2,false,1,0,1,85.00
exact_solver,MinDistance,2x2x2,2,true,4,1,1,100.00
exact_solver,MinRotation,2x2x2,2,true,4,1,1,100.00
exact_solver,MaxInformation,2x2x2,2,true,4,1,1,100.00
global_sat,MinDistance,2x2x2,2,true,4,0,1,100.00
global_sat,MinRotation,2x2x2,2,true,4,0,1,100.00
global_sat,MaxInformation,2x2x2,2,true,4,0,1,100.00
partitioned_sat,MinDistance,2x2x2,2,true,4,1,1,100.00
partitioned_sat,MinRotation,2x2x2,2,true,4,1,1,100.00
partitioned_sat,MaxInformation,2x2x2,2,true,4,1,1,100.00
scip_solver,MinDistance,2x2x2,2,true,4,103,1,100.00
scip_solver,MinRotation,2x2x2,2,true,4,111,1,100.00
scip_solver,MaxInformation,2x2x2,2,true,4,119,1,100.00
greedy,MinDistance,2x2x2,3,false,5,0,5,85.00
greedy,MinRotation,2x2x2,3,false,5,0,5,85.00
greedy,MaxInformation,2x2x2,3,false,5,0,5,85.00
exact_solver,MinDistance,2x2x2,3,false,4,1,2,75.00
exact_solver,MinRotation,2x2x2,3,false,4,1,2,75.00
exact_solver,MaxInformation,2x2x2,3,true,8,3,4,100.00
global_sat,MinDistance,2x2x2,3,true,8,3,2,100.00
global_sat,MinRotation,2x2x2,3,true,8,2,2,100.00
global_sat,MaxInformation,2x2x2,3,true,8,3,2,100.00
partitioned_sat,MinDistance,2x2x2,3,true,8,3,2,100.00
partitioned_sat,MinRotation,2x2x2,3,true,8,3,2,100.00
partitioned_sat,MaxInformation,2x2x2,3,true,8,3,2,100.00
scip_solver,MinDistance,2x2x2,3,false,4,202,2,75.00
scip_solver,MinRotation,2x2x2,3,false,4,166,2,75.00
scip_solver,MaxInformation,2x2x2,3,true,8,314,2,100.00
greedy,MinDistance,2x2x2,4,false,3,0,3,80.00
greedy,MinRotation,2x2x2,4,false,3,0,3,80.00
greedy,MaxInformation,2x2x2,4,false,3,0,3,80.00
exact_solver,MinDistance,2x2x2,4,false,6,2,2,95.00
exact_solver,MinRotation,2x2x2,4,false,6,2,2,95.00
exact_solver,MaxInformation,2x2x2,4,true,6,2,2,100.00
global_sat,MinDistance,2x2x2,4,true,6,1,1,100.00
global_sat,MinRotation,2x2x2,4,true,6,1,1,100.00
global_sat,MaxInformation,2x2x2,4,true,6,1,1,100.00
partitioned_sat,MinDistance,2x2x2,4,true,6,2,1,100.00
partitioned_sat,MinRotation,2x2x2,4,true,6,2,1,100.00
partitioned_sat,MaxInformation,2x2x2,4,true,6,2,1,100.00
scip_solver,MinDistance,2x2x2,4,true,6,205,1,100.00
scip_solver,MinRotation,2x2x2,4,true,6,211,1,100.00
scip_solver,MaxInformation,2x2x2,4,true,6,202,1,100.00
greedy,MinDistance,2x2x2,5,false,2,0,2,80.00
greedy,MinRotation,2x2x2,5,false,2,0,2,80.00
greedy,MaxInformation,2x2x2,5,false,2,0,2,80.00
exact_solver,MinDistance,2x2x2,5,true,5,1,1,100.00
exact_solver,MinRotation,2x2x2,5,true,5,1,1,100.00
exact_solver,MaxInformation,2x2x2,5,true,5,1,1,100.00
global_sat,MinDistance,2x2x2,5,true,5,1,1,100.00
global_sat,MinRotation,2x2x2,5,true,5,1,1,100.00
global_sat,MaxInformation,2x2x2,5,true,5,1,1,100.00
partitioned_sat,MinDistance,2x2x2,5,true,6,2,1,100.00
partitioned_sat,MinRotation,2x2x2,5,true,5,1,1,100.00
partitioned_sat,MaxInformation,2x2x2,5,true,5,1,1,100.00
scip_solver,MinDistance,2x2x2,5,true,5,187,1,100.00
scip_solver,MinRotation,2x2x2,5,true,6,267,1,100.00
scip_solver,MaxInformation,2x2x2,5,true,5,185,1,100.00
greedy,MinDistance,2x2x2,6,false,4,0,4,90.00
greedy,MinRotation,2x2x2,6,false,4,0,4,90.00
greedy,MaxInformation,2x2x2,6,false,4,0,4,90.00
exact_solver,MinDistance,2x2x2,6,true,5,1,3,100.00
exact_solver,MinRotation,2x2x2,6,false,4,0,3,90.00
exact_solver,MaxInformation,2x2x2,6,false,3,0,3,85.00
global_sat,MinDistance,2x2x2,6,false,2,0,2,80.00
global_sat,MinRotation,2x2x2,6,false,2,0,2,80.00
global_sat,MaxInformation,2x2x2,6,false,2,0,2,80.00
partitioned_sat,MinDistance,2x2x2,6,false,2,0,2,80.00
partitioned_sat,MinRotation,2x2x2,6,false,2,0,2,80.00
partitioned_sat,MaxInformation,2x2x2,6,false,2,0,2,80.00
scip_solver,MinDistance,2x2x2,6,true,5,159,2,100.00
scip_solver,MinRotation,2x2x2,6,true,5,151,2,100.00
scip_solver,MaxInformation,2x2x2,6,true,5,150,2,100.00
greedy,MinDistance,2x2x2,7,false,5,0,5,75.00
greedy,MinRotation,2x2x2,7,false,5,0,5,75.00
greedy,MaxInformation,2x2x2,7,false,5,0,5,75.00
exact_solver,MinDistance,2x2x2,7,true,5,1,2,100.00
exact_solver,MinRotation,2x2x2,7,false,4,0,2,70.00
exact_solver,MaxInformation,2x2x2,7,true,5,1,2,100.00
global_sat,MinDistance,2x2x2,7,true,7,3,1,100.00
global_sat,MinRotation,2x2x2,7,true,7,2,1,100.00
global_sat,MaxInformation,2x2x2,7,true,9,3,1,100.00
partitioned_sat,MinDistance,2x2x2,7,true,7,3,1,100.00
partitioned_sat,MinRotation,2x2x2,7,true,5,2,1,100.00
partitioned_sat,MaxInformation,2x2x2,7,true,9,5,1,100.00
scip_solver,MinDistance,2x2x2,7,true,7,301,1,100.00
scip_solver,MinRotation,2x2x2,7,true,6,259,1,100.00
scip_solver,MaxInformation,2x2x2,7,true,7,293,1,100.00
greedy,MinDistance,2x2x2,8,false,2,0,2,90.00
greedy,MinRotation,2x2x2,8,false,2,0,2,90.00
greedy,MaxInformation,2x2x2,8,false,2,0,2,90.00
exact_solver,MinDistance,2x2x2,8,true,4,1,1,100.00
exact_solver,MinRotation,2x2x2,8,true,4,1,1,100.00
exact_solver,MaxInformation,2x2x2,8,true,4,1,1,100.00
global_sat,MinDistance,2x2x2,8,true,4,0,1,100.00
global_sat,MinRotation,2x2x2,8,true,4,0,1,100.00
global_sat,MaxInformation,2x2x2,8,true,4,0,1,100.00
partitioned_sat,MinDistance,2x2x2,8,true,4,0,1,100.00
