--- benchmark results ---

"algorithm,objective,dims,win,clicks,time_ms,guesses,completion"
"greedy,MinDistance,3x3x3,false,5,1,0,90.91"
"greedy,MinDistance,3x3x3,false,11,0,1,75.00"
"greedy,MinDistance,3x3x3,false,8,0,0,70.45"
"greedy,MinDistance,3x3x3,false,6,0,0,79.55"
"greedy,MinDistance,3x3x3,false,6,0,0,77.27"
"greedy,MinDistance,3x3x3,false,10,0,1,86.36"
"greedy,MinDistance,3x3x3,false,3,0,0,68.18"
"greedy,MinDistance,3x3x3,false,4,0,0,88.64"
"greedy,MinDistance,3x3x3,false,8,0,0,79.55"
"greedy,MinDistance,3x3x3,false,3,0,0,72.73"
"greedy,MinRotation,3x3x3,false,5,0,0,70.45"
"greedy,MinRotation,3x3x3,false,2,0,0,70.45"
"greedy,MinRotation,3x3x3,false,5,0,0,45.45"
"greedy,MinRotation,3x3x3,false,3,0,0,59.09"
"greedy,MinRotation,3x3x3,false,4,0,0,43.18"
"greedy,MinRotation,3x3x3,false,5,0,0,79.55"
"greedy,MinRotation,3x3x3,false,6,0,0,65.91"
"greedy,MinRotation,3x3x3,false,4,0,0,88.64"
"greedy,MinRotation,3x3x3,false,5,0,0,59.09"
"greedy,MinRotation,3x3x3,false,2,0,0,75.00"
"greedy,MaxInformation,3x3x3,false,4,0,0,43.18"
"greedy,MaxInformation,3x3x3,false,2,0,0,84.09"
"greedy,MaxInformation,3x3x3,false,2,0,0,56.82"
"greedy,MaxInformation,3x3x3,false,2,0,0,45.45"
"greedy,MaxInformation,3x3x3,false,10,0,0,59.09"
"greedy,MaxInformation,3x3x3,false,11,0,0,81.82"
"greedy,MaxInformation,3x3x3,false,4,0,0,75.00"
"greedy,MaxInformation,3x3x3,false,3,0,0,68.18"
"greedy,MaxInformation,3x3x3,false,8,0,0,77.27"
"greedy,MaxInformation,3x3x3,false,3,0,0,88.64"
"exact_solver,MinDistance,3x3x3,false,8,2,0,59.09"
"exact_solver,MinDistance,3x3x3,true,14,4,0,100.00"
"exact_solver,MinDistance,3x3x3,false,7,1,0,97.73"
"exact_solver,MinDistance,3x3x3,true,15,4,0,100.00"
"exact_solver,MinDistance,3x3x3,true,8,1,0,100.00"
"exact_solver,MinDistance,3x3x3,false,5,1,0,93.18"
"exact_solver,MinDistance,3x3x3,false,13,3,0,81.82"
"exact_solver,MinDistance,3x3x3,false,6,1,0,95.45"
"exact_solver,MinDistance,3x3x3,true,20,5,0,100.00"
"exact_solver,MinDistance,3x3x3,false,8,1,0,97.73"
"exact_solver,MinRotation,3x3x3,true,9,4,0,100.00"
"exact_solver,MinRotation,3x3x3,true,14,4,0,100.00"
"exact_solver,MinRotation,3x3x3,true,10,2,0,100.00"
"exact_solver,MinRotation,3x3x3,false,13,3,0,97.73"
"exact_solver,MinRotation,3x3x3,true,16,4,0,100.00"
"exact_solver,MinRotation,3x3x3,true,6,2,0,100.00"
"exact_solver,MinRotation,3x3x3,true,6,1,0,100.00"
"exact_solver,MinRotation,3x3x3,true,13,4,0,100.00"
"exact_solver,MinRotation,3x3x3,true,14,3,0,100.00"
"exact_solver,MinRotation,3x3x3,true,14,6,0,100.00"
"exact_solver,MaxInformation,3x3x3,true,20,6,0,100.00"
"exact_solver,MaxInformation,3x3x3,true,16,4,0,100.00"
"exact_solver,MaxInformation,3x3x3,false,8,3,0,97.73"
"exact_solver,MaxInformation,3x3x3,true,12,4,0,100.00"
"exact_solver,MaxInformation,3x3x3,true,9,2,0,100.00"
"exact_solver,MaxInformation,3x3x3,true,11,3,0,100.00"
"exact_solver,MaxInformation,3x3x3,false,6,0,0,63.64"
"exact_solver,MaxInformation,3x3x3,false,11,2,0,97.73"
"exact_solver,MaxInformation,3x3x3,true,12,5,0,100.00"
"exact_solver,MaxInformation,3x3x3,false,16,4,0,97.73"
"global_sat,MinDistance,3x3x3,true,3,0,0,100.00"
"global_sat,MinDistance,3x3x3,true,8,1,0,100.00"
"global_sat,MinDistance,3x3x3,true,11,6,0,100.00"
"global_sat,MinDistance,3x3x3,true,9,4,0,100.00"
"global_sat,MinDistance,3x3x3,true,23,11,0,100.00"
"global_sat,MinDistance,3x3x3,true,15,8,0,100.00"
"global_sat,MinDistance,3x3x3,true,20,12,0,100.00"
"global_sat,MinDistance,3x3x3,true,18,8,0,100.00"
"global_sat,MinDistance,3x3x3,true,12,8,0,100.00"
"global_sat,MinDistance,3x3x3,true,18,8,0,100.00"
"global_sat,MinRotation,3x3x3,true,8,1,0,100.00"
"global_sat,MinRotation,3x3x3,true,9,3,0,100.00"
"global_sat,MinRotation,3x3x3,true,6,1,0,100.00"
"global_sat,MinRotation,3x3x3,true,12,3,0,100.00"
"global_sat,MinRotation,3x3x3,true,11,6,0,100.00"
"global_sat,MinRotation,3x3x3,true,17,14,0,100.00"
"global_sat,MinRotation,3x3x3,false,6,8,0,56.82"
"global_sat,MinRotation,3x3x3,true,14,7,0,100.00"
"global_sat,MinRotation,3x3x3,true,20,14,0,100.00"
"global_sat,MinRotation,3x3x3,true,17,11,0,100.00"
"global_sat,MaxInformation,3x3x3,true,18,15,0,100.00"
"global_sat,MaxInformation,3x3x3,true,10,7,0,100.00"
"global_sat,MaxInformation,3x3x3,true,12,16,0,100.00"
"global_sat,MaxInformation,3x3x3,true,18,21,0,100.00"
"global_sat,MaxInformation,3x3x3,true,14,18,0,100.00"
"global_sat,MaxInformation,3x3x3,true,12,7,0,100.00"
"global_sat,MaxInformation,3x3x3,true,22,22,0,100.00"
"global_sat,MaxInformation,3x3x3,true,16,10,0,100.00"
"global_sat,MaxInformation,3x3x3,true,5,0,0,100.00"
"global_sat,MaxInformation,3x3x3,true,9,2,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,13,4,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,12,4,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,11,2,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,4,0,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,10,4,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,22,10,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,15,4,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,11,8,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,18,5,0,100.00"
"partitioned_sat,MinDistance,3x3x3,true,13,5,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,12,4,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,23,8,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,25,13,0,100.00"
"partitioned_sat,MinRotation,3x3x3,false,4,1,0,43.18"
"partitioned_sat,MinRotation,3x3x3,true,14,12,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,9,4,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,11,2,0,100.00"
"partitioned_sat,MinRotation,3x3x3,true,15,5,0,100.00"
